itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum,브랜드
276000,4,TIGER 글로벌자원생산기업(합성 H),13420,2,10,0.07,13477.0,-7.1973,1058,14,127,TIGER
360150,2,KODEX 코스닥150롱코스피200숏선물,8460,5,-10,-0.12,8455.0,-1.6832,1196,10,127,KODEX
241390,7,KBSTAR V&S셀렉트밸류채권혼합,10565,5,-70,-0.66,10561.0,-3.2743,8634,90,127,KBSTAR
253290,7,KBSTAR 헬스케어채권혼합,10420,2,5,0.05,10423.0,-3.6986,11430,118,125,KBSTAR
185680,4,KODEX 미국S&P바이오(합성),24120,2,835,3.59,24227.0,7.5519,1753,42,124,KODEX
285690,2,FOCUS ESG리더스,8805,5,-210,-2.33,8807.0,-7.9633,9,0,123,FOCUS
426030,4,TIMEFOLIO 미국나스닥100액티브,10175,5,-100,-0.97,10257.0,5.0613,50,0,122,TIMEFOLIO
426020,4,TIMEFOLIO 미국S&P500액티브,10150,5,-75,-0.73,10220.0,4.6571,98,0,122,TIMEFOLIO
238720,4,KINDEX 일본Nikkei225(H),17355,5,-275,-1.56,17326.0,-0.3674,854,14,121,KINDEX
200030,4,KODEX 미국S&P산업재(합성),21000,5,-125,-0.59,21051.0,5.0995,519,10,121,KODEX
422260,2,VITA MZ소비액티브,7035,5,-200,-2.76,7085.0,-5.7943,29001,203,120,VITA
438560,6,SOL 국고채3년,98575,2,55,0.06,98523.0,,19,1,119,SOL
400580,4,SOL 유럽탄소배출권선물S&P(H),10795,5,-215,-1.95,10747.0,-16.9684,10847,117,119,SOL
289670,6,ARIRANG 국채선물10년,48415,5,-50,-0.1,47975.0,-2.7784,5847,281,118,ARIRANG
395760,2,ARIRANG ESG성장주액티브,6665,5,-225,-3.27,6685.0,-8.3777,120,0,117,ARIRANG
421320,2,ARIRANG iSelect우주항공&UAM,8955,5,-345,-3.71,8959.0,3.2186,75716,686,116,ARIRANG
404120,2,TIMEFOLIO 탄소중립액티브,7760,5,-295,-3.66,7797.0,-3.1851,134,1,116,TIMEFOLIO
227570,2,TIGER 우량가치,9615,5,-255,-2.58,9620.0,-3.3774,2804,26,115,TIGER
279540,2,KODEX 최소변동성,9600,5,-135,-1.39,9500.0,-5.76,51,0,115,KODEX
248260,4,TIGER 일본TOPIX헬스케어(합성),11400,2,125,1.11,11485.0,4.7375,109,1,114,TIGER
433970,7,KODEX TDF2030액티브,9895,5,-55,-0.55,9944.0,,27703,270,114,KODEX
211560,2,TIGER 배당성장,14570,5,-340,-2.28,14579.0,-6.7543,604,8,114,TIGER
418670,4,TIGER 글로벌사이버보안INDXX,10450,2,65,0.63,10477.0,1.5151,11872,123,113,TIGER
251600,7,ARIRANG 고배당주채권혼합,10195,5,-40,-0.39,10205.0,-2.6166,3467,35,112,ARIRANG
413220,4,SOL 차이나태양광CSI(합성),9305,5,-315,-3.27,9388.0,-5.4081,60398,575,112,SOL
153270,1,KOSEF 코스피100,21365,5,-515,-2.35,21362.0,-8.183,211,4,111,KOSEF
174350,2,TIGER 로우볼,10645,5,-140,-1.3,10643.0,-2.9253,3567,37,111,TIGER
331910,2,KOSEF Fn중소형,18360,5,-490,-2.6,18359.0,-5.3478,83,1,110,KOSEF
440340,7,TIGER 글로벌멀티에셋TIF액티브,10000,2,30,0.3,10028.0,,176362,1760,110,TIGER
354240,7,KBSTAR 미국고정배당우선증권ICE TR,10790,2,150,1.41,10763.0,6.3468,2175,23,108,KBSTAR
390400,4,KODEX 미국스마트모빌리티S&P,6700,5,-45,-0.67,6752.0,-3.0195,1780,11,107,KODEX
433220,4,에셋플러스 글로벌대장장이액티브,10455,5,-15,-0.14,10506.0,,5800,60,107,에셋플러스
138530,2,TIGER LG그룹+펀더멘털,7840,5,-285,-3.51,7833.0,-6.232,10207,79,107,TIGER
407820,2,에셋플러스 코리아플랫폼액티브,5570,5,-130,-2.28,5575.0,-15.2417,5823,32,106,에셋플러스
412570,2,TIGER KRX2차전지K-뉴딜레버리지,5285,5,-375,-6.63,5291.0,-13.2568,290681,1557,106,TIGER
138910,5,KODEX 구리선물(H),5845,5,-120,-2.01,5847.0,-12.9833,4490,26,105,KODEX
295000,6,KBSTAR 국채선물10년,47620,5,-145,-0.3,47230.0,-2.818,1006,47,105,KBSTAR
104530,2,KOSEF 고배당,7480,5,-115,-1.51,7502.0,-8.1621,7063,52,105,KOSEF
441800,4,TIMEFOLIO Korea플러스배당액티브,9510,5,-160,-1.65,9514.0,,69707,661,105,TIMEFOLIO
261110,7,TIGER 미국달러선물레버리지,14930,2,380,2.61,14975.0,22.9404,129987,1903,105,TIGER
139660,7,KOSEF 미국달러선물인버스,8255,5,-120,-1.43,8242.0,-9.7522,10733,88,104,KOSEF
289250,2,TIGER MSCI KOREA ESG유니버설,8600,3,0,0.0,8440.0,-8.6564,0,0,103,TIGER
435040,4,KINDEX 글로벌브랜드TOP10블룸버그,10245,5,-90,-0.87,10404.0,,11767,120,102,KINDEX
413930,2,WOORI AI ESG액티브,7290,5,-130,-1.75,7290.0,-7.3658,86,0,102,WOORI
415760,4,SOL 차이나육성산업액티브(합성),7760,5,-30,-0.39,7957.0,-10.6139,6995,53,101,SOL
250730,4,KBSTAR 차이나HSCEI(H),7195,5,-105,-1.44,7153.0,-19.9562,706,5,101,KBSTAR
